codigo_ibge,nome,latitude,longitude,capital,codigo_uf,ddd
4205357,Flor do Sertão,-26.763780817625054,-53.33734229110274,False,42,49
3515806,Flora Rica,-21.69844470918158,-51.37427585621313,False,35,18
4107801,Floraí,-23.332732394148746,-52.34841652605416,False,41,44
2403806,Florânia,-6.169716735891298,-36.81838265919474,False,24,84
3515905,Floreal,-20.66959197670389,-50.15481182938423,False,35,17
2605608,Flores,-7.939923176564635,-37.89476408812756,False,26,87
4308201,Flores da Cunha,-29.031528395990357,-51.22113598841737,False,43,54
5207907,Flores de Goiás,-14.65139129492205,-46.90553395727289,False,52,62
2203800,Flores do Piauí,-7.672973362254989,-42.8608865486398,False,22,89
4107900,Floresta,-23.607076075808436,-52.09008993639214,False,41,44
2605707,Floresta,-8.566278930748433,-38.30534191603829,False,26,87
2911006,Floresta Azul,-14.841851517686308,-39.71746989512372,False,29,73
1503044,Floresta do Araguaia,-7.548322816823628,-49.57603053651253,False,15,94
2203859,Floresta do Piauí,-7.4731271386673965,-41.80436528519482,False,22,89
3126000,Florestal,-19.86849195680648,-44.4421137024263,False,31,31
4108007,Florestópolis,-22.893354460007178,-51.4026864659823,False,41,43
2203909,Floriano,-7.0058063694841035,-43.079382398844565,False,22,89
4308250,Floriano Peixoto,-27.857823833029947,-52.0453393679422,False,43,54
4205407,Florianópolis,-27.577833903699386,-48.50819805036828,True,42,48
4108106,Flórida,-23.105590184617185,-51.956453821215035,False,41,44
3516002,Flórida Paulista,-21.53996213516899,-51.17065319497175,False,35,18
3516101,Florínia,-22.88120872980724,-50.695312295796825,False,35,18
1301605,Fonte Boa,-2.4909894023204795,-66.35764938654151,False,13,97
4308300,Fontoura Xavier,-29.00855025294883,-52.377968726772096,False,43,54
3126109,Formiga,-20.553682190599574,-45.516428440687825,False,31,37
4308409,Formigueiro,-29.97546141186741,-53.50620680623913,False,43,55
5208004,Formosa,-15.307533133696852,-47.24689619990642,False,52,61
2104099,Formosa da Serra Negra,-6.514205377351823,-46.18625737086681,False,21,99
4108205,Formosa do Oeste,-24.292730269066247,-53.33162562229188,False,41,44
2911105,Formosa do Rio Preto,-11.014212911213637,-45.74529016621797,False,29,77
4205431,Formosa do Sul,-26.634189290888695,-52.79378914554266,False,42,49
5208103,Formoso,-13.722455659459007,-48.86814317527855,False,52,62
3126208,Formoso,-15.12970035249227,-46.15848159090987,False,31,38
1708205,Formoso do Araguaia,-11.958272718039437,-50.09809064747768,False,17,63
4308433,Forquetinha,-29.388519192843642,-52.12578219052881,False,43,51
2304350,Forquilha,-3.8223540249998753,-40.22547308471635,False,23,88
4205456,Forquilhinha,-28.781693410798017,-49.493283331779956,False,42,48
2304400,Fortaleza,-3.785832852159794,-38.528000644340835,True,23,85
3126307,Fortaleza de Minas,-20.88788707916064,-46.771343173267255,False,31,35
1708254,Fortaleza do Tabocão,-9.0714315407162,-48.54602483186762,False,17,63
2104107,Fortaleza dos Nogueiras,-6.941937615633455,-46.08192387025087,False,21,99
4308458,Fortaleza dos Valos,-28.89512383210559,-53.27588398813721,False,43,55
2304459,Fortim,-4.464396255129725,-37.87370422674845,False,23,88
2104206,Fortuna,-5.634388261773991,-44.01463010094357,False,21,99
3126406,Fortuna de Minas,-19.55758249052319,-44.50425150082871,False,31,31
4108304,Foz do Iguaçu,-25.467968294478766,-54.483239235410196,False,41,45
4108452,Foz do Jordão,-25.699572227417697,-52.09088026558861,False,41,42
4205506,Fraiburgo,-27.03781479694627,-50.87243224549903,False,42,49
3516200,Franca,-20.55522364281717,-47.38111226316834,False,35,16
2204006,Francinópolis,-6.423008701301498,-42.23398647199199,False,22,89
4108320,Francisco Alves,-24.094817818696498,-53.872326751152265,False,41,44
2204105,Francisco Ayres,-6.669155405488658,-42.721505413373066,False,22,89
3126505,Francisco Badaró,-16.977630846175586,-42.3098472563222,False,31,33
4108403,Francisco Beltrão,-26.047689148429853,-53.1325822342901,False,41,46
2403905,Francisco Dantas,-6.053006348501671,-38.10863441356371,False,24,84
3126604,Francisco Dumont,-17.469808263663694,-44.269860073845024,False,31,38
2204154,Francisco Macedo,-7.32083070565675,-40.78391764491405,False,22,89
3516309,Francisco Morato,-23.273708025955298,-46.723508434206764,False,35,11
3126703,Francisco Sá,-16.39370032554231,-43.47896155318862,False,31,38
2204204,Francisco Santos,-7.012905755741379,-41.14712519807423,False,22,89
3126752,Franciscópolis,-17.99333486841309,-41.96793460379572,False,31,33
3516408,Franco da Rocha,-23.314170731330183,-46.73575038268789,False,35,11
2304509,Frecheirinha,-3.710811567344993,-40.82276505786952,False,23,88
4308508,Frederico Westphalen,-27.340524804291864,-53.35982328147403,False,43,55
3126802,Frei Gaspar,-18.13969206923572,-41.51067687446008,False,31,33
3126901,Frei Inocêncio,-18.519727799303222,-41.879190471521355,False,31,33
3126950,Frei Lagonegro,-18.143403296928245,-42.755872530420056,False,31,33
2506202,Frei Martinho,-6.414501571591177,-36.44971344438821,False,25,83
2605806,Frei Miguelinho,-7.935428276828908,-35.88507794981281,False,26,81
2802304,Frei Paulo,-10.52248469834292,-37.58988404122123,False,28,79
4205555,Frei Rogério,-27.191741290544712,-50.765649653950014,False,42,49
3127008,Fronteira,-20.228532203118622,-49.158864849418606,False,31,34
3127057,Fronteira dos Vales,-16.893867236018465,-40.83540982423569,False,31,33
2204303,Fronteiras,-7.077189118331508,-40.58374499817137,False,22,89
3127073,Fruta de Leite,-16.12559625271389,-42.51994539462148,False,31,38
3127107,Frutal,-20.035721896195582,-49.00045959965814,False,31,34
2404002,Frutuoso Gomes,-6.161016723164137,-37.83904378512117,False,24,84
3202207,Fundão,-19.968304948716433,-40.35679727403295,False,32,27
3127206,Funilândia,-19.361051310830764,-44.0741041630102,False,31,31
3516507,Gabriel Monteiro,-21.499590412967294,-50.56474743909883,False,35,18
2506251,Gado Bravo,-7.589765675341142,-35.81242029492566,False,25,83
3516606,Gália,-22.320479979460238,-49.577770196030464,False,35,14
3127305,Galiléia,-18.88023900016344,-41.54513887332273,False,31,33
2404101,Galinhos,-5.175724069168662,-36.20799254884555,False,24,84
4205605,Galvão,-26.449409439778222,-52.65901067634087,False,42,49
2605905,Gameleira,-8.612472694563278,-35.393084661845386,False,26,81
5208152,Gameleira de Goiás,-16.403418389872904,-48.67375035219184,False,52,62
